codigoSap,denominacion,nivel,direccion,poblacion,distrito
6882,Plantel ET52,1,CAR. CARRETERA INDUSTRIAL K.18 CERRO BLANCO,TRUJILLO,POROTO
6883,Plantel ET53,1,CAR. CARRETERA INDUSTRIAL KM. 18 CERRO BLANCO,TRUJILLO,POROTO
6884,Plantel ET54,1,CAR. CARRETERA INDUSTRIAL KM. 18 CERRO BLANCO,TRUJILLO,POROTO
6885,Plantel ET55,1,FUNDO SANTA FE N M FND. VALLE VIRU,VIRU,VIRU
6886,Plantel EOL05,1,ENTRE LOS VALLES DE LOS RIOS CASCAJAL Y OLMOS LOTE B-1,LAMBAYEQUE,OLMOS
6887,Plantel UEL02,1,CARRETERA ANTIGUA A QUIRIHUAC S/N SECTOR GALINDO,TRUJILLO,LAREDO
7001,Agri 3,1,MZA. 0 LOTE. 9 SECCION VICTORIA,HUARAL,HUARAL
7002,Agri 1,1,CAR. PANAMERICANA NORTE KM. 132 IRRIGACION SANTA ROSA,HUAURA,SAYAN
7003,Agri 1  granja Anitas,1,CAR. PANAMERICANA NORTE KM. 132 IRRIGACION SANTA ROSA,HUAURA,SAYAN
7004,Agri 8,1,CAR. PANAMERICANA NORTE KM. 132,HUAURA,SAYAN
7005,Agri 9,1,NRO. S N P.RURAL HUACA-CANDELARIA (PARCELA 74),HUARAL,HUARAL
7006,Agri 7,1,UNIDAD CATASTRAL 10893 NRO. .. GRU.VENTUROSA (ALTURA KM 182 PANAMERICANA NORTE),BARRANCA,SUPE
7007,Pampa oca - Pisco,1,CAR. PANAMERICANA SUR NRO. S N (ALTURA KM 235.8 SECTOR OCAS ALTO),PISCO,SAN ANDRES
7008,Villa victoria,1,IRRIGACION SANTA ROSA LOTE. 3 FND.LA MACARENA,HUAURA,SAYAN
7009,Agroindustria huaral,1,CAL. NUEVA MZA. 2 LOTE. 8 FND. CABECERA DEL ESTANQUE,HUARAL,HUARAL
7010,Agri 11,1,NRO. S/N FND. SANTA DELFINA (UNI.CA.PARCELA1-03286 CANAL EVACUADOR PA),HUAURA,SANTA MARIA
7011,Agri 2,1,CAR. A HUARAL KM. 21 ESPERANZA ALTA,HUARAL,HUARAL
7012,Agro cañete,1,JR. JOSE GALVEZ NRO. 440,CAÑETE,SAN VICENTE DE CAÑETE
7013,Agri Selva,1,AV. SAN FERNANDO MZA. 49 LOTE. 7A(INTERSECCION CON AV.TUPAC AMARU),CORONEL PORTILLO,MANANTAY
8003,Villa Victoria - CITE,1,IRRIGACION SANTA ROSA LOTE 3 FND.LA MACARENA,HUAURA,SAYAN
